AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/07/03,22:00,18.0,0.0,96,276,0.4
2025/07/03,23:00,17.8,0.0,96,334,0.2
2025/07/04,00:00,17.6,0.0,96,315,0.4
2025/07/04,01:00,17.6,0.0,96,101,0.7
2025/07/04,02:00,17.5,0.0,97,334,0.6
2025/07/04,03:00,17.5,0.0,98,314,0.3
2025/07/04,04:00,17.4,0.0,96,72,0.1
2025/07/04,05:00,17.4,0.0,96,262,0.8
2025/07/04,06:00,17.2,0.0,96,319,0.5
2025/07/04,07:00,17.1,0.0,95,242,0.1
2025/07/04,08:00,17.3,0.0,95,106,0.2
2025/07/04,09:00,18.7,0.0,87,147,1.7
2025/07/04,10:00,20.0,0.0,81,151,1.7
2025/07/04,11:00,22.0,0.0,75,158,0.8
2025/07/04,12:00,24.5,0.0,66,191,0.7
2025/07/04,13:00,26.0,0.0,68,251,2.1
2025/07/04,14:00,26.5,0.0,69,292,1.6
2025/07/04,15:00,26.2,0.0,66,336,1.3
2025/07/04,16:00,26.2,0.0,63,15,1.6
2025/07/04,17:00,25.6,0.0,65,27,1.6
2025/07/04,18:00,24.2,0.0,70,352,1.2
2025/07/04,19:00,20.8,0.0,89,73,0.9
2025/07/04,20:00,19.2,0.0,95,76,1.0
2025/07/04,21:00,18.6,0.0,95,92,0.6
2025/07/04,22:00,17.7,0.0,98,88,0.2
2025/07/04,23:00,17.8,0.0,96,46,0.2
2025/07/05,00:00,16.9,0.0,98,118,0.3
2025/07/05,01:00,16.4,0.0,99,115,0.1
2025/07/05,02:00,16.2,0.0,99,136,0.1
2025/07/05,03:00,16.6,0.0,99,129,1.8
2025/07/05,04:00,18.0,0.0,95,115,0.9
2025/07/05,05:00,17.6,0.0,96,35,0.3
2025/07/05,06:00,17.1,0.0,98,172,0.2
2025/07/05,07:00,17.8,0.0,95,143,2.0
2025/07/05,08:00,18.0,0.0,95,155,0.8
2025/07/05,09:00,18.4,0.0,92,127,2.2
2025/07/05,10:00,20.2,0.0,82,149,2.2
2025/07/05,11:00,22.2,0.0,72,148,1.6
2025/07/05,12:00,24.8,0.0,66,284,1.9
2025/07/05,13:00,25.9,0.0,66,253,1.8
2025/07/05,14:00,26.7,0.0,61,236,1.4
2025/07/05,15:00,27.3,0.0,57,252,1.1
2025/07/05,16:00,27.1,0.0,59,16,1.3
2025/07/05,17:00,25.5,0.0,64,295,1.3
2025/07/05,18:00,24.5,0.0,69,29,1.0
2025/07/05,19:00,21.4,0.0,86,84,0.7
2025/07/05,20:00,19.7,0.0,92,71,0.8
2025/07/05,21:00,19.3,0.0,94,104,0.2
2025/07/05,22:00,18.9,0.0,95,216,0.3
2025/07/05,23:00,18.2,0.0,97,93,0.3
2025/07/06,00:00,17.7,0.0,98,79,0.1
2025/07/06,01:00,17.5,0.0,98,61,0.2
2025/07/06,02:00,18.2,0.0,95,111,1.6
2025/07/06,03:00,17.8,0.0,94,6,0.1
2025/07/06,04:00,17.1,0.0,98,86,0.4
2025/07/06,05:00,18.2,0.0,94,121,1.6
2025/07/06,06:00,18.7,0.0,89,125,1.4
2025/07/06,07:00,18.3,0.0,91,126,1.2
2025/07/06,08:00,17.2,0.0,95,126,1.9
2025/07/06,09:00,19.3,0.0,86,148,1.1
2025/07/06,10:00,21.8,0.0,77,149,1.6
2025/07/06,11:00,23.9,0.0,68,151,1.3
2025/07/06,12:00,26.6,0.0,60,251,0.8
2025/07/06,13:00,27.6,0.0,58,249,1.4
2025/07/06,14:00,28.0,0.0,57,331,1.7
2025/07/06,15:00,27.8,0.0,57,271,2.5
2025/07/06,16:00,27.8,0.0,53,295,2.2
2025/07/06,17:00,27.1,0.0,57,313,1.5
2025/07/06,18:00,24.9,0.0,70,42,1.0
2025/07/06,19:00,21.4,0.0,87,72,0.8
2025/07/06,20:00,19.9,0.0,93,81,0.9
2025/07/06,21:00,19.2,0.0,95,103,0.6
2025/07/06,22:00,19.0,0.0,95,103,0.2
2025/07/06,23:00,19.2,0.0,94,103,0.7
2025/07/07,00:00,20.1,0.0,90,107,1.4
2025/07/07,01:00,19.6,0.0,93,105,0.1
2025/07/07,02:00,19.1,0.0,97,197,0.1
2025/07/07,03:00,19.1,0.0,98,146,0.8
2025/07/07,04:00,19.8,0.0,93,147,0.4
2025/07/07,05:00,19.4,0.0,95,317,0.0
2025/07/07,06:00,19.4,0.0,95,142,0.9
2025/07/07,07:00,19.9,0.0,89,127,1.5
2025/07/07,08:00,19.8,0.0,89,132,0.9
2025/07/07,09:00,21.7,0.0,75,147,1.3
2025/07/07,10:00,23.3,0.0,67,148,2.1
2025/07/07,11:00,24.7,0.0,64,142,1.1
2025/07/07,12:00,27.0,0.0,56,230,0.8
2025/07/07,13:00,28.2,0.0,58,257,1.6
2025/07/07,14:00,28.7,0.0,59,268,2.2
2025/07/07,15:00,28.9,0.0,56,273,2.4
2025/07/07,16:00,28.6,0.0,55,272,2.5
2025/07/07,17:00,27.9,0.0,59,300,1.8
2025/07/07,18:00,26.1,0.0,66,307,0.6
2025/07/07,19:00,22.5,0.0,85,87,0.6
2025/07/07,20:00,21.5,0.0,90,44,0.5
2025/07/07,21:00,21.0,0.0,92,61,0.1
2025/07/07,22:00,20.4,0.0,93,150,0.4
2025/07/07,23:00,20.3,0.0,93,93,0.7
2025/07/08,00:00,21.2,0.0,87,118,1.3
2025/07/08,01:00,21.3,0.0,87,247,0.5
2025/07/08,02:00,20.8,0.0,89,123,1.5
2025/07/08,03:00,21.0,0.0,83,106,1.4
2025/07/08,04:00,20.4,0.0,89,122,1.2
2025/07/08,05:00,20.1,0.0,89,116,1.3
2025/07/08,06:00,20.1,0.0,88,108,1.3
2025/07/08,07:00,20.2,0.0,82,104,1.4
2025/07/08,08:00,20.0,0.0,80,106,1.6
2025/07/08,09:00,20.5,0.0,80,110,1.3
2025/07/08,10:00,22.1,0.0,77,145,0.9
2025/07/08,11:00,25.0,0.0,61,132,0.9
2025/07/08,12:00,26.5,0.0,58,312,1.6
2025/07/08,13:00,27.9,0.0,59,311,1.3
2025/07/08,14:00,27.8,0.0,60,310,2.1
2025/07/08,15:00,28.6,0.0,55,43,1.7
2025/07/08,16:00,28.6,0.0,54,275,1.7
2025/07/08,17:00,28.3,0.0,53,358,1.3
2025/07/08,18:00,26.6,0.0,59,31,1.1
2025/07/08,19:00,22.4,0.0,80,89,0.8
2025/07/08,20:00,20.7,0.0,87,81,0.2
2025/07/08,21:00,19.9,0.0,91,24,0.4
2025/07/08,22:00,19.2,0.0,94,96,0.6
2025/07/08,23:00,19.5,0.0,93,306,0.4
2025/07/09,00:00,19.6,0.0,94,54,0.2
2025/07/09,01:00,19.4,0.0,96,97,0.2
2025/07/09,02:00,18.9,0.0,98,325,0.6
2025/07/09,03:00,19.2,
