AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/07/01,00:00,16.6,0.0,99,269,1.1
2025/07/01,01:00,16.6,0.0,99,261,1.3
2025/07/01,02:00,16.6,0.0,98,258,1.6
2025/07/01,03:00,16.5,0.0,99,256,1.0
2025/07/01,04:00,16.5,0.0,99,263,0.9
2025/07/01,05:00,16.4,0.0,99,261,1.6
2025/07/01,06:00,16.2,0.0,99,277,0.9
2025/07/01,07:00,16.1,0.0,98,251,1.0
2025/07/01,08:00,15.7,0.0,99,257,2.0
2025/07/01,09:00,15.8,0.0,99,255,1.9
2025/07/01,10:00,16.0,0.2,98,255,2.0
2025/07/01,11:00,16.2,0.0,95,270,1.9
2025/07/01,12:00,16.2,0.0,92,265,2.0
2025/07/01,13:00,16.3,0.0,94,263,1.7
2025/07/01,14:00,16.7,0.0,91,250,1.4
2025/07/01,15:00,16.9,0.0,89,254,1.9
2025/07/01,16:00,16.8,0.0,91,260,1.5
2025/07/01,17:00,16.7,0.0,91,259,1.2
2025/07/01,18:00,16.2,0.0,94,249,0.7
2025/07/01,19:00,15.8,0.0,96,276,1.0
2025/07/01,20:00,15.4,0.0,97,262,1.3
2025/07/01,21:00,15.3,0.0,97,262,1.3
2025/07/01,22:00,15.1,0.0,98,263,1.0
2025/07/01,23:00,15.1,0.0,98,271,0.7
2025/07/02,00:00,15.1,0.0,97,41,0.6
2025/07/02,01:00,15.3,0.0,95,19,0.2
2025/07/02,02:00,15.2,0.0,96,269,0.5
2025/07/02,03:00,15.1,0.0,97,263,0.3
2025/07/02,04:00,15.1,0.0,97,270,0.6
2025/07/02,05:00,14.9,0.0,97,321,1.0
2025/07/02,06:00,15.0,0.0,97,306,1.2
2025/07/02,07:00,15.0,0.0,98,264,1.1
2025/07/02,08:00,14.9,0.0,98,259,1.7
2025/07/02,09:00,15.0,0.0,98,254,1.6
2025/07/02,10:00,15.7,0.0,96,274,1.4
2025/07/02,11:00,16.6,0.0,91,253,1.8
2025/07/02,12:00,16.4,0.0,90,243,1.4
2025/07/02,13:00,17.1,0.0,88,268,1.8
2025/07/02,14:00,17.2,0.0,88,273,1.8
2025/07/02,15:00,17.0,0.0,90,307,1.9
2025/07/02,16:00,16.8,0.0,91,270,1.4
2025/07/02,17:00,16.6,0.0,91,310,1.8
2025/07/02,18:00,16.1,0.0,93,247,0.8
2025/07/02,19:00,15.7,0.0,96,266,0.8
2025/07/02,20:00,15.4,0.0,97,263,1.0
2025/07/02,21:00,15.3,0.0,98,258,0.7
2025/07/02,22:00,15.3,0.0,98,40,0.0
2025/07/02,23:00,15.4,0.0,98,169,0.6
2025/07/03,00:00,15.6,0.0,98,166,0.4
2025/07/03,01:00,15.7,0.0,98,274,0.6
2025/07/03,02:00,15.7,0.0,99,294,1.4
2025/07/03,03:00,15.5,0.0,99,271,1.1
2025/07/03,04:00,15.3,0.0,99,274,0.9
2025/07/03,05:00,15.2,0.0,96,275,1.4
2025/07/03,06:00,14.9,0.0,92,276,1.2
2025/07/03,07:00,14.6,0.0,93,276,1.1
2025/07/03,08:00,14.5,0.0,95,291,1.3
2025/07/03,09:00,14.2,0.0,98,260,1.9
2025/07/03,10:00,14.6,0.0,97,262,1.7
2025/07/03,11:00,14.9,0.0,92,259,1.8
2025/07/03,12:00,16.0,0.0,86,293,0.8
2025/07/03,13:00,18.1,0.0,79,169,0.2
2025/07/03,14:00,19.4,0.0,76,240,0.4
2025/07/03,15:00,21.3,0.0,71,258,1.4
2025/07/03,16:00,21.9,0.0,69,137,0.3
2025/07/03,17:00,21.0,0.0,76,279,1.7
2025/07/03,18:00,20.3,0.0,80,16,0.8
2025/07/03,19:00,19.1,0.0,88,330,0.4
2025/07/03,20:00,18.5,0.0,92,338,0.4
2025/07/03,21:00,18.1,0.0,95,332,0.2
